Type,Product,Brand,Name,Price
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬金鑽高效防曬露A(3X版)SPF50+/PA++++,950
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,極上御藏防禦精華乳SPF50+/PA++++,3000
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水凝清爽防曬露SPF25.PA++ Mentholatum Water in UV SPF25 PA++,220
SkinCare,防曬,SOFINA 蘇菲娜,純淨輕透防禦乳 SPF50+ PA+++ Perfect UV Lucent SPF50+ PA+++,900
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬金鑽高效防曬露EX SPF50+/PA++++,329/950
SkinCare,防曬,SK-II,超輕感全效防曬霜SPF50+/PA++++ Atmosphere Airy light UV cream,2500
SkinCare,防曬,Kanebo 佳麗寶-專櫃,EX UV高效防曬凝乳(礦物柔膚型)SPF50+/PA++++,1050
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬黃金水鑽防曬露SPF50+/PA++++,1100
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏保濕日間防禦乳SPF50+ PA++++,800
SkinCare,防曬,SOFINA 蘇菲娜,透美顏日間保濕防護乳SPF50+/PA+++,450
SkinCare,防曬,Kanebo 佳麗寶-專櫃,EX UV高效防曬水凝乳SPF50+/PA++++,480/950
SkinCare,防曬,RMK,UV防護乳50 SPF50/PA++++ UV FACE PROTRCTOR SPF50/PA++++,1100
SkinCare,防曬,ORBIS,升級版．極緻抗陽防曬露SPF50+/PA++++ UV CUT  SUNSCREEN  SUPER SPF50+ PA++++,620
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,Acnes藥用抗痘UV潤色隔離乳SPF50 PA++,250
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬寶貝肌防曬露SPF34/PA+++ ANESSA Babycare Sunscreen SPF34 PA+++,450
SkinCare,防曬,Boots 博姿,雪白防護隔離乳SPF50 PA+++,0
SkinCare,防曬,ALLIE,UV EX 高效防曬水凝乳N SPF50+/PA++++,850
SkinCare,防曬,DR.WU 達爾膚醫美保養系列,全日保濕防曬乳SPF50+/PA+++ UV HYDRATING LOTION WITH HYALURONIC ACID SPF50+ 30ML,800
SkinCare,防曬,DHC,金靚白水亮防曬乳SPF50+/PA++++,580
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,怡麗絲爾淨白多效日間美肌乳C+ SPF50+/PA++++,1100
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,怡麗絲爾多效膠原美肌乳SPF50+/PA++++,900
SkinCare,防曬,LANCOME 蘭蔻,超輕盈柔白水感隔離露SPF50/PA++++,1900
SkinCare,防曬,Avene 雅漾,清爽抗UV隔離乳SPF30 Creme protectrice UV,1280
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,淨白肌密多效日間美肌乳( I )SPF50+/PA+++,1100
SkinCare,防曬,SOFINA 蘇菲娜,透美顏美白日間保濕防護乳SPF50+PA+++,500
SkinCare,防曬,Kanebo 佳麗寶-專櫃,UV EX高效防曬凝乳(礦物保濕型)N SPF50+/PA+++,1050
SkinCare,防曬,Stiefel 史帝富,詩蓓白低敏防曬隔離霜 PF30 PA++ Sunscreen for Sensitive Skin,725
SkinCare,防曬,SENKA 專科,防曬專科礦泉水感防曬乳SPF50/PA+++(戶外型),300
SkinCare,防曬,SOFINA 蘇菲娜,透美顏日間保濕防護乳SPF24. PA+++,450
SkinCare,防曬,SOFINA 蘇菲娜,白皙輕透防禦乳SPF50+/PA+++,900
SkinCare,防曬,SK-II,光透活膚隔離霜SPF20/PA++ Signs control base,1700
SkinCare,防曬,OMI 近江兄弟社,近江艷陽防曬隔離乳液SPF32.PA++,200
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌超保濕水感防曬精華SPF50+/PA++++,379
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌超保濕水感防曬露SPF50+/PA++++,379
SkinCare,防曬,LANCOME 蘭蔻,超輕盈UV水凝露SPF50/PA++++,1950
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏美白瀅潤日間防禦乳升級版(清爽型)SPF50+/PA++++,950
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌柔光透亮防曬飾底凝露SPF50+/PA++++,369
SkinCare,防曬,SOFINA 蘇菲娜,透美顏飽水控油雙效日間防護乳SPF50+/PA++++,450
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏保濕日間防禦乳升級版(清爽型)SPF50+/PA++++,900
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬銀鑽保濕防曬露SPF50+/PA++++,950
SkinCare,防曬,Paula's Choice 寶拉珍選,抗老化清新潤色防曬乳SPF30,1380
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,全護清爽防曬液UVA PRO 潤色SPF50/PPD33 UVIDEA XL Cream 50 SPF50/PPD33,980
SkinCare,防曬,LANCOME 蘭蔻,超輕盈柔白隔離乳SPF50/PA++++升級版 UV Expert XL Shield 12H active beauty shield,1850
SkinCare,防曬,shu uemura 植村秀,UV泡沫隔離霜(毛孔緊緻配方) SPF35 PA+++,1400
SkinCare,防曬,Whoo 后,拱辰享美防曬隔離霜,1980
SkinCare,防曬,NOV 娜芙,防曬隔離霜SPF35.PA++ UV Shield  SPF35 PA++,1100
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,珠光防曬露SPF50+/PA+++ protect pearly sunscreen SPF50+/PA+++,950
